unit_number,time_in_cycles,op_setting_1,op_setting_2,op_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,RUL
1,30,-0.0025,0.0004,100.0,518.67,642.79,1585.72,1400.97,14.62,21.61,554.1,2388.09,9047.45,1.3,47.4,521.78,2388.1,8134.79,8.411,0.03,391,2388,100.0,39.09,23.4069,1
57,1,0.001,-0.0004,100.0,518.67,642.75,1580.43,1404.95,14.62,21.61,553.8,2388.1,9047.11,1.3,47.42,522.1,2388.09,8132.19,8.4592,0.03,393,2388,100.0,38.82,23.3856,159
93,83,-0.0014,0.0001,100.0,518.67,642.03,1584.19,1410.56,14.62,21.61,553.12,2388.13,9053.08,1.3,47.63,521.9,2388.11,8134.42,8.4201,0.03,394,2388,100.0,38.91,23.358,161
92,48,-0.0019,-0.0002,100.0,518.67,642.88,1596.94,1404.92,14.62,21.61,552.56,2388.18,9041.64,1.3,47.67,521.02,2388.13,8126.5,8.4093,0.03,393,2388,100.0,38.88,23.3181,102
68,12,0.0022,0.0003,100.0,518.67,642.27,1580.25,1391.21,14.62,21.61,553.91,2388.02,9051.41,1.3,47.31,522.32,2388.08,8139.51,8.4074,0.03,392,2388,100.0,38.96,23.3403,175
34,164,0.005,-0.0003,100.0,518.67,642.35,1583.85,1408.51,14.62,21.61,553.0,2388.16,9052.6,1.3,47.41,520.83,2388.11,8136.91,8.4316,0.03,395,2388,100.0,38.87,23.3417,39
53,107,0.0011,-0.0003,100.0,518.67,642.01,1587.74,1406.1,14.62,21.61,553.46,2388.04,9060.0,1.3,47.42,521.74,2388.06,8149.14,8.4286,0.03,392,2388,100.0,38.92,23.3068,57
44,30,0.0002,-0.0003,100.0,518.67,642.33,1588.33,1399.06,14.62,21.61,553.92,2388.11,9054.68,1.3,47.53,522.17,2388.06,8132.48,8.4605,0.03,393,2388,100.0,39.18,23.3903,24
6,31,-0.0026,0.0002,100.0,518.67,642.76,1591.84,1407.47,14.62,21.61,553.09,2388.09,9052.16,1.3,47.61,521.66,2388.05,8136.27,8.4106,0.03,394,2388,100.0,38.94,23.3784,74
54,78,-0.0037,-0.0,100.0,518.67,642.16,1582.42,1397.89,14.62,21.61,554.76,2388.04,9057.34,1.3,47.14,522.11,2388.05,8140.99,8.4294,0.03,393,2388,100.0,38.95,23.4205,43
6,67,-0.0015,0.0,100.0,518.67,642.72,1592.75,1409.08,14.62,21.61,553.15,2388.13,9053.85,1.3,47.37,521.58,2388.14,8132.22,8.4235,0.03,393,2388,100.0,38.8,23.3186,38
49,256,0.0005,-0.0001,100.0,518.67,642.24,1593.9,1411.98,14.62,21.61,553.02,2388.12,9050.44,1.3,47.81,520.88,2388.14,8130.07,8.4382,0.03,393,2388,100.0,38.83,23.3906,47
99,2,-0.0021,0.0001,100.0,518.67,643.07,1585.21,1391.21,14.62,21.61,554.35,2388.0,9053.72,1.3,47.11,521.98,2388.03,8147.79,8.3989,0.03,390,2388,100.0,39.07,23.4263,95
11,22,0.0012,0.0001,100.0,518.67,642.98,1594.38,1405.76,14.62,21.61,553.34,2388.22,9036.4,1.3,47.57,522.13,2388.17,8122.97,8.4669,0.03,395,2388,100.0,38.75,23.2634,61
93,82,-0.0006,0.0,100.0,518.67,642.9,1593.81,1407.35,14.62,21.61,552.97,2388.14,9057.39,1.3,47.58,521.58,2388.09,8138.3,8.4544,0.03,392,2388,100.0,38.87,23.2123,162
68,108,0.006,-0.0002,100.0,518.67,642.78,1588.23,1403.23,14.62,21.61,553.75,2388.1,9070.74,1.3,47.55,522.07,2388.08,8140.44,8.4316,0.03,393,2388,100.0,38.77,23.2922,79
42,149,-0.0026,-0.0002,100.0,518.67,642.89,1594.39,1416.28,14.62,21.61,552.37,2388.22,9038.95,1.3,47.92,520.24,2388.23,8115.3,8.4683,0.03,394,2388,100.0,38.65,23.1418,7
32,106,0.0032,-0.0003,100.0,518.67,641.84,1588.04,1405.64,14.62,21.61,554.37,2387.99,9083.36,1.3,47.34,521.57,2387.99,8151.82,8.4407,0.03,391,2388,100.0,38.85,23.3636,39
34,58,0.0002,-0.0003,100.0,518.67,642.44,1577.6,1397.84,14.62,21.61,553.9,2387.99,9065.55,1.3,47.22,522.55,2387.97,8150.46,8.4087,0.03,390,2388,100.0,39.16,23.4349,145
97,78,0.0013,0.0005,100.0,518.67,641.93,1586.78,1406.96,14.62,21.61,553.85,2388.03,9063.4,1.3,47.31,522.33,2388.03,8147.74,8.369,0.03,393,2388,100.0,38.85,23.4223,56
19,12,-0.001,-0.0001,100.0,518.67,641.93,1581.13,1391.21,14.62,21.61,554.94,2387.97,9053.74,1.3,47.29,522.46,2388.05,8143.76,8.3703,0.03,391,2388,100.0,39.04,23.4011,123
15,69,0.0002,-0.0002,100.0,518.67,641.86,1588.5,1403.27,14.62,21.61,553.64,2388.08,9054.16,1.3,47.39,522.19,2388.05,8132.93,8.4284,0.03,391,2388,100.0,39.17,23.4014,7
5,81,0.0002,0.0001,100.0,518.67,642.24,1586.6,1416.88,14.62,21.61,552.91,2388.14,9048.38,1.3,47.5,521.47,2388.12,8127.65,8.4414,0.03,392,2388,100.0,38.66,23.226,17
55,64,0.0005,-0.0005,100.0,518.67,641.76,1583.55,1401.16,14.62,21.61,554.38,2388.09,9055.48,1.3,47.33,522.07,2388.05,8133.8,8.4027,0.03,391,2388,100.0,39.08,23.3387,49
39,20,0.0007,-0.0001,100.0,518.67,641.59,1583.65,1399.16,14.62,21.61,554.75,2388.05,9059.51,1.3,47.28,522.7,2388.02,8142.61,8.4062,0.03,391,2388,100.0,38.9,23.5346,17
80,85,0.0006,0.0002,100.0,518.67,642.5,1585.63,1397.57,14.62,21.61,553.7,2388.06,9063.22,1.3,47.31,522.06,2388.03,8147.28,8.4253,0.03,394,2388,100.0,38.97,23.3014,48
98,74,-0.0033,-0.0004,100.0,518.67,642.44,1590.68,1414.31,14.62,21.61,552.73,2388.07,9062.0,1.3,47.23,522.01,2388.04,8142.12,8.4397,0.03,393,2388,100.0,38.71,23.2353,47
80,91,-0.0015,0.0001,100.0,518.67,642.25,1590.24,1405.49,14.62,21.61,553.0,2388.08,9068.18,1.3,47.32,522.02,2388.09,8144.87,8.3999,0.03,392,2388,100.0,38.78,23.4297,42
84,80,-0.0026,-0.0003,100.0,518.67,642.66,1587.69,1403.62,14.62,21.61,554.08,2388.1,9063.2,1.3,47.5,521.48,2388.07,8132.06,8.4389,0.03,392,2388,100.0,39.0,23.2939,92
58,112,-0.0,0.0001,100.0,518.67,642.61,1586.87,1403.97,14.62,21.61,553.81,2388.04,9051.25,1.3,47.41,521.61,2388.04,8137.37,8.4123,0.03,392,2388,100.0,38.86,23.2829,64
10,178,0.0023,-0.0002,100.0,518.67,642.04,1581.9,1396.72,14.62,21.61,553.16,2388.03,9050.55,1.3,47.07,522.02,2388.06,8137.2,8.421,0.03,393,2388,100.0,38.83,23.2575,14
81,160,-0.0032,0.0001,100.0,518.67,643.05,1584.31,1416.5,14.62,21.61,553.46,2388.03,9077.21,1.3,47.56,521.5,2388.14,8149.83,8.4271,0.03,392,2388,100.0,38.84,23.353,53
38,26,-0.0006,-0.0001,100.0,518.67,643.28,1589.88,1404.34,14.62,21.61,553.39,2388.07,9049.12,1.3,47.79,521.94,2388.09,8130.16,8.4884,0.03,392,2388,100.0,38.83,23.3406,99
57,49,0.0035,0.0001,100.0,518.67,642.82,1589.79,1408.98,14.62,21.61,554.28,2388.15,9054.5,1.3,47.48,521.64,2388.11,8127.17,8.4876,0.03,391,2388,100.0,38.91,23.3539,111
61,110,0.0015,-0.0,100.0,518.67,642.47,1585.15,1409.73,14.62,21.61,553.16,2388.03,9071.73,1.3,47.37,521.5,2388.02,8150.75,8.4233,0.03,394,2388,100.0,38.89,23.2926,49
8,98,-0.0008,-0.0004,100.0,518.67,642.62,1577.28,1407.18,14.62,21.61,552.95,2388.11,9048.67,1.3,47.48,521.5,2388.09,8123.44,8.4293,0.03,392,2388,100.0,38.74,23.2906,68
75,10,0.0029,-0.0005,100.0,518.67,642.39,1586.31,1400.64,14.62,21.61,554.2,2388.04,9059.51,1.3,47.28,522.66,2388.05,8142.28,8.3925,0.03,392,2388,100.0,39.13,23.3207,78
7,50,-0.0002,0.0001,100.0,518.67,642.59,1587.53,1400.01,14.62,21.61,554.2,2388.01,9054.17,1.3,47.35,522.6,2387.96,8138.23,8.437,0.03,392,2388,100.0,39.07,23.3734,110
55,112,0.0015,-0.0002,100.0,518.67,642.63,1583.04,1402.3,14.62,21.61,553.96,2388.05,9064.52,1.3,47.5,522.58,2388.11,8142.05,8.4096,0.03,393,2388,100.0,39.02,23.2973,1
31,141,-0.0019,-0.0,100.0,518.67,642.32,1591.74,1407.76,14.62,21.61,553.7,2388.09,9071.06,1.3,47.49,521.44,2388.09,8154.15,8.4279,0.03,391,2388,100.0,38.72,23.1737,55
52,102,0.0002,-0.0005,100.0,518.67,641.96,1585.25,1393.92,14.62,21.61,554.66,2387.99,9058.46,1.3,47.32,522.8,2388.0,8141.83,8.3975,0.03,393,2388,100.0,39.03,23.5161,87
84,104,-0.001,0.0002,100.0,518.67,642.65,1585.62,1400.0,14.62,21.61,553.84,2388.08,9055.78,1.3,47.63,521.89,2388.1,8136.22,8.4052,0.03,393,2388,100.0,38.76,23.3955,68
70,31,0.002,-0.0002,100.0,518.67,642.61,1581.92,1412.38,14.62,21.61,553.89,2388.06,9050.51,1.3,47.23,521.25,2388.13,8129.73,8.4409,0.03,392,2388,100.0,38.98,23.3607,121
29,46,-0.0017,-0.0,100.0,518.67,642.27,1584.68,1410.32,14.62,21.61,554.33,2388.02,9051.36,1.3,47.28,522.32,2388.04,8140.29,8.4267,0.03,392,2388,100.0,39.02,23.4934,125
93,149,-0.0006,0.0001,100.0,518.67,642.81,1596.95,1411.78,14.62,21.61,552.4,2388.11,9064.31,1.3,47.46,521.0,2388.08,8135.52,8.4539,0.03,395,2388,100.0,38.89,23.3631,95
17,133,0.0013,0.0004,100.0,518.67,642.95,1595.75,1405.72,14.62,21.61,553.93,2388.03,9080.01,1.3,47.28,521.63,2388.06,8154.99,8.4306,0.03,393,2388,100.0,38.87,23.4082,32
19,31,0.0015,-0.0004,100.0,518.67,642.16,1588.44,1396.33,14.62,21.61,554.06,2388.01,9056.65,1.3,47.22,521.96,2387.99,8134.2,8.3861,0.03,390,2388,100.0,38.88,23.4977,104
64,143,-0.0025,-0.0002,100.0,518.67,642.69,1590.22,1411.89,14.62,21.61,553.5,2388.12,9058.5,1.3,47.62,521.15,2388.11,8135.04,8.4772,0.03,394,2388,100.0,38.81,23.3324,25
16,42,0.0007,0.0004,100.0,518.67,642.62,1594.13,1394.07,14.62,21.61,554.49,2388.02,9041.79,1.3,47.44,522.06,2388.06,8134.63,8.3902,0.03,392,2388,100.0,39.0,23.3904,71
26,48,0.0013,0.0007,100.0,518.67,641.7,1587.29,1396.96,14.62,21.61,554.06,2388.03,9073.44,1.3,47.22,522.8,2387.98,8142.5,8.4259,0.03,391,2388,100.0,39.01,23.387,28
4,27,0.0013,0.0005,100.0,518.67,642.6,1587.17,1394.09,14.62,21.61,553.69,2388.08,9062.95,1.3,47.48,521.97,2388.09,8133.2,8.4005,0.03,393,2388,100.0,38.97,23.3266,79
35,119,-0.0055,-0.0,100.0,518.67,642.71,1585.95,1412.76,14.62,21.61,552.87,2388.1,9057.9,1.3,47.64,520.85,2388.12,8144.39,8.4525,0.03,393,2388,100.0,38.69,23.2371,79
84,16,-0.0018,0.0,100.0,518.67,642.79,1583.25,1405.03,14.62,21.61,554.04,2388.07,9056.64,1.3,47.44,521.94,2388.07,8137.76,8.4219,0.03,393,2388,100.0,38.99,23.3854,156
7,159,0.0026,-0.0002,100.0,518.67,642.49,1587.05,1407.98,14.62,21.61,554.32,2388.02,9071.69,1.3,47.43,522.34,2388.03,8148.45,8.445,0.03,393,2388,100.0,38.87,23.259,1
6,28,0.0002,-0.0005,100.0,518.67,643.16,1588.49,1404.82,14.62,21.61,553.49,2388.07,9051.09,1.3,47.35,521.91,2388.11,8133.0,8.444,0.03,394,2388,100.0,38.81,23.3402,77
17,130,-0.0024,0.0002,100.0,518.67,642.5,1587.87,1408.47,14.62,21.61,553.85,2388.03,9082.45,1.3,47.33,522.14,2388.06,8154.9,8.4143,0.03,393,2388,100.0,38.85,23.3087,35
16,66,0.0021,0.0003,100.0,518.67,641.83,1583.1,1402.58,14.62,21.61,554.06,2388.02,9045.3,1.3,47.4,522.31,2388.07,8135.67,8.4206,0.03,392,2388,100.0,38.89,23.312,47
9,17,-0.0008,-0.0001,100.0,518.67,643.37,1592.78,1411.78,14.62,21.61,553.37,2388.06,9048.86,1.3,47.52,521.52,2388.08,8128.78,8.4596,0.03,393,2388,100.0,38.82,23.2645,38
36,80,-0.0008,0.0004,100.0,518.67,643.31,1592.89,1411.94,14.62,21.61,553.22,2388.14,9058.75,1.3,47.6,520.89,2388.13,8138.3,8.4738,0.03,394,2388,100.0,38.72,23.262,46
23,55,-0.0031,0.0001,100.0,518.67,642.24,1590.58,1395.44,14.62,21.6,554.18,2388.07,9046.33,1.3,47.11,522.68,2388.04,8132.03,8.3811,0.03,392,2388,100.0,39.1,23.4002,75
76,141,-0.0014,0.0003,100.0,518.67,642.48,1587.34,1408.0,14.62,21.61,553.63,2388.07,9074.01,1.3,47.38,521.86,2388.08,8147.62,8.4641,0.03,395,2388,100.0,38.93,23.3455,64
52,184,-0.0004,-0.0004,100.0,518.67,642.91,1582.56,1408.37,14.62,21.61,553.42,2388.11,9106.05,1.3,47.62,521.14,2388.08,8175.07,8.4718,0.03,395,2388,100.0,38.81,23.2197,5
74,72,-0.002,0.0003,100.0,518.67,642.05,1586.44,1405.01,14.62,21.61,553.67,2388.09,9060.43,1.3,47.49,522.05,2388.09,8145.73,8.4351,0.03,393,2388,100.0,38.56,23.352,65
54,59,0.0006,0.0003,100.0,518.67,642.47,1587.95,1396.36,14.62,21.61,554.62,2387.97,9057.33,1.3,47.23,522.68,2388.06,8140.4,8.3905,0.03,391,2388,100.0,38.97,23.3418,62
58,62,0.0027,0.0004,100.0,518.67,642.42,1580.92,1396.55,14.62,21.61,553.73,2388.03,9045.49,1.3,47.33,521.91,2388.12,8134.44,8.4329,0.03,392,2388,100.0,38.97,23.4283,114
93,74,-0.0014,0.0005,100.0,518.67,642.06,1591.92,1411.3,14.62,21.61,553.78,2388.1,9055.56,1.3,47.59,521.24,2388.17,8136.0,8.4718,0.03,393,2388,100.0,38.77,23.1585,170
81,133,-0.0003,-0.0006,100.0,518.67,643.02,1583.42,1409.0,14.62,21.61,553.01,2388.1,9063.52,1.3,47.58,521.47,2388.08,8144.5,8.4309,0.03,392,2388,100.0,38.7,23.2336,80
54,49,0.0005,0.0003,100.0,518.67,642.31,1587.79,1397.61,14.62,21.61,553.9,2387.96,9055.96,1.3,47.09,522.15,2388.0,8141.2,8.3988,0.03,391,2388,100.0,39.09,23.3698,72
77,44,0.005,0.0003,100.0,518.67,642.64,1584.45,1403.62,14.62,21.61,553.43,2388.04,9045.3,1.3,47.41,522.13,2388.07,8135.42,8.4067,0.03,392,2388,100.0,38.92,23.4615,118
51,53,-0.0027,-0.0001,100.0,518.67,642.88,1591.21,1404.82,14.62,21.61,554.08,2388.07,9050.19,1.3,47.28,521.22,2388.07,8126.11,8.4362,0.03,392,2388,100.0,38.89,23.4647,91
43,118,0.0078,-0.0004,100.0,518.67,642.42,1584.52,1407.51,14.62,21.61,552.85,2388.16,9057.33,1.3,47.43,521.98,2388.14,8132.76,8.4039,0.03,392,2388,100.0,38.71,23.3501,54
34,122,0.0016,-0.0,100.0,518.67,642.34,1587.58,1409.53,14.62,21.61,554.11,2388.03,9063.82,1.3,47.27,521.59,2388.06,8145.76,8.4288,0.03,393,2388,100.0,38.96,23.4157,81
43,30,0.0015,0.0001,100.0,518.67,642.61,1587.67,1399.67,14.62,21.61,554.46,2388.07,9051.01,1.3,47.33,521.24,2388.08,8126.28,8.4007,0.03,394,2388,100.0,39.02,23.2777,142
91,176,0.0024,0.0002,100.0,518.67,642.89,1588.15,1425.03,14.62,21.61,552.38,2388.17,9048.67,1.3,47.63,520.36,2388.18,8122.42,8.4588,0.03,394,2388,100.0,38.63,23.1916,58
84,90,0.0007,-0.0001,100.0,518.67,642.8,1584.56,1400.15,14.62,21.61,553.7,2388.1,9055.84,1.3,47.65,521.77,2388.1,8135.49,8.4285,0.03,392,2388,100.0,38.86,23.2605,82
74,111,0.0004,0.0001,100.0,518.67,642.88,1587.39,1407.73,14.62,21.61,553.79,2388.01,9055.16,1.3,47.42,521.74,2388.1,8141.65,8.4624,0.03,392,2388,100.0,38.84,23.2867,26
56,126,0.0,-0.0004,100.0,518.67,643.08,1592.21,1423.74,14.62,21.61,551.66,2388.26,9039.66,1.3,47.74,519.39,2388.21,8122.53,8.4884,0.03,396,2388,100.0,38.65,23.0865,10
6,87,-0.0026,0.0005,100.0,518.67,642.4,1586.38,1409.82,14.62,21.61,553.91,2388.07,9048.49,1.3,47.61,521.82,2388.11,8137.22,8.4533,0.03,394,2388,100.0,38.9,23.3472,18
20,143,0.0009,0.0,100.0,518.67,642.23,1594.34,1407.23,14.62,21.61,553.52,2388.13,9075.1,1.3,47.59,521.19,2388.1,8141.64,8.4809,0.03,394,2388,100.0,38.77,23.2764,41
9,4,0.0011,-0.0003,100.0,518.67,642.66,1592.61,1402.47,14.62,21.61,553.97,2388.15,9046.17,1.3,47.68,521.35,2388.09,8127.37,8.4311,0.03,394,2388,100.0,38.87,23.3333,51
13,91,0.0002,0.0001,100.0,518.67,641.9,1587.73,1398.55,14.62,21.61,554.88,2387.99,9063.0,1.3,47.15,522.36,2388.06,8143.02,8.4397,0.03,392,2388,100.0,39.06,23.3348,104
93,221,0.0006,-0.0002,100.0,518.67,642.71,1592.51,1418.62,14.62,21.61,552.27,2388.23,9069.31,1.3,47.69,520.88,2388.1,8153.58,8.4488,0.03,395,2388,100.0,38.7,23.1534,23
77,153,0.0013,0.0004,100.0,518.67,642.79,1590.33,1411.89,14.62,21.61,553.82,2388.17,9053.47,1.3,47.74,520.82,2388.15,8131.31,8.4627,0.03,393,2388,100.0,38.77,23.2854,9
41,17,0.0019,0.0001,100.0,518.67,642.44,1592.71,1398.27,14.62,21.61,554.64,2388.04,9038.61,1.3,47.32,522.4,2388.04,8129.52,8.3976,0.03,392,2388,100.0,39.13,23.3589,106
49,179,-0.0026,0.0003,100.0,518.67,641.56,1585.43,1397.17,14.62,21.61,553.74,2387.96,9069.03,1.3,47.43,522.16,2388.03,8142.34,8.3792,0.03,392,2388,100.0,39.03,23.3125,124
60,28,0.0023,-0.0004,100.0,518.67,642.24,1584.93,1409.42,14.62,21.61,554.3,2388.08,9049.32,1.3,47.43,521.74,2388.0,8135.89,8.4467,0.03,394,2388,100.0,38.81,23.1811,119
24,17,-0.0018,-0.0002,100.0,518.67,642.15,1580.61,1396.98,14.62,21.6,554.92,2388.0,9064.27,1.3,47.16,522.37,2388.02,8147.83,8.3898,0.03,390,2388,100.0,38.98,23.4934,169
31,36,-0.0004,-0.0003,100.0,518.67,641.6,1589.35,1399.91,14.62,21.61,554.38,2388.05,9071.28,1.3,47.3,522.38,2388.02,8140.98,8.38,0.03,393,2388,100.0,39.01,23.4454,160
8,156,-0.0011,-0.0004,100.0,518.67,642.25,1591.79,1403.47,14.62,21.61,553.9,2388.17,9049.13,1.3,47.49,520.71,2388.03,8130.6,8.4509,0.03,393,2388,100.0,38.81,23.2452,10
31,48,-0.0014,-0.0002,100.0,518.67,642.02,1584.11,1407.92,14.62,21.61,553.78,2388.02,9065.87,1.3,47.21,521.92,2388.05,8149.73,8.4238,0.03,393,2388,100.0,38.81,23.446,148
35,195,-0.001,-0.0005,100.0,518.67,643.42,1599.51,1429.31,14.62,21.61,551.93,2388.2,9080.86,1.3,48.05,520.02,2388.22,8149.56,8.5088,0.03,395,2388,100.0,38.69,23.0403,3
45,12,0.0014,-0.0004,100.0,518.67,642.21,1593.27,1403.1,14.62,21.61,552.99,2388.09,9061.35,1.3,47.46,521.05,2388.09,8143.5,8.4971,0.03,392,2388,100.0,38.88,23.2685,140
53,129,-0.0007,-0.0002,100.0,518.67,642.37,1587.89,1404.2,14.62,21.61,553.37,2388.01,9075.21,1.3,47.62,521.77,2388.07,8159.86,8.4228,0.03,393,2388,100.0,38.84,23.3831,35
17,95,0.0013,0.0006,100.0,518.67,642.56,1586.06,1400.97,14.62,21.61,554.47,2388.06,9072.18,1.3,47.36,522.01,2388.02,8153.92,8.4022,0.03,390,2388,100.0,39.06,23.4905,70
90,1,-0.0037,-0.0,100.0,518.67,642.89,1587.96,1401.49,14.62,21.61,553.51,2388.11,9050.96,1.3,47.37,521.31,2388.08,8135.36,8.3984,0.03,393,2388,100.0,38.95,23.3891,145
71,12,0.0017,-0.0004,100.0,518.67,641.5,1585.57,1401.64,14.62,21.61,554.05,2387.99,9065.52,1.3,47.28,522.65,2387.98,8146.26,8.3962,0.03,393,2388,100.0,38.83,23.4489,56
70,152,0.002,-0.0001,100.0,518.67,642.71,1588.56,1406.49,14.62,21.61,553.01,2388.1,9054.84,1.3,47.67,521.65,2388.11,8133.88,8.4349,0.03,394,2388,100.0,38.85,23.2231,0
62,108,-0.0002,-0.0005,100.0,518.67,642.32,1581.05,1394.67,14.62,21.6,554.54,2387.98,9059.99,1.3,47.09,522.06,2388.02,8141.47,8.3892,0.03,391,2388,100.0,39.05,23.4609,124
13,1,-0.0023,0.0004,100.0,518.67,642.63,1583.43,1400.97,14.62,21.61,554.17,2387.99,9068.45,1.3,47.31,522.43,2387.99,8137.44,8.409,0.03,391,2388,100.0,38.92,23.3614,194
11,45,-0.0013,-0.0002,100.0,518.67,643.13,1588.86,1408.27,14.62,21.61,553.0,2388.15,9041.16,1.3,47.52,521.01,2388.12,8118.02,8.4002,0.03,393,2388,100.0,38.91,23.3027,38
84,167,-0.0005,0.0002,100.0,518.67,643.07,1588.75,1410.29,14.62,21.61,553.35,2388.16,9050.39,1.3,47.7,521.01,2388.09,8130.63,8.4673,0.03,394,2388,100.0,38.63,23.2047,5
84,3,-0.0006,-0.0002,100.0,518.67,642.43,1597.08,1398.13,14.62,21.61,553.47,2388.03,9057.21,1.3,47.51,521.36,2388.07,8135.76,8.4079,0.03,392,2388,100.0,38.85,23.3768,169
100,70,-0.0044,0.0004,100.0,518.67,642.04,1579.83,1406.06,14.62,21.61,553.99,2388.05,9059.4,1.3,47.33,522.3,2388.01,8140.52,8.4552,0.03,392,2388,100.0,39.1,23.3277,128
75,35,0.0034,0.0004,100.0,518.67,642.34,1581.29,1403.6,14.62,21.61,553.39,2388.04,9057.52,1.3,47.17,521.88,2388.04,8143.55,8.4209,0.03,393,2388,100.0,38.93,23.3455,53
93,218,-0.0002,-0.0002,100.0,518.67,643.07,1594.88,1409.32,14.62,21.61,553.08,2388.11,9063.09,1.3,47.69,521.43,2388.15,8147.12,8.4998,0.03,394,2388,100.0,38.66,23.2002,26
45,119,-0.0003,0.0002,100.0,518.67,642.06,1595.08,1405.41,14.62,21.61,553.32,2388.08,9065.12,1.3,47.46,521.1,2388.12,8144.98,8.4656,0.03,394,2388,100.0,39.0,23.305,33
34,149,0.0006,-0.0003,100.0,518.67,642.1,1597.2,1407.63,14.62,21.61,553.26,2388.1,9065.04,1.3,47.45,521.31,2388.13,8139.07,8.4623,0.03,393,2388,100.0,39.1,23.286,54
62,166,0.0003,0.0003,100.0,518.67,642.08,1580.54,1403.49,14.62,21.61,553.87,2388.02,9057.41,1.3,47.3,521.57,2388.01,8137.33,8.4186,0.03,393,2388,100.0,38.91,23.3674,66
31,115,-0.0024,0.0003,100.0,518.67,642.48,1578.14,1403.73,14.62,21.61,553.15,2388.11,9074.41,1.3,47.33,521.9,2388.05,8146.32,8.4498,0.03,394,2388,100.0,39.04,23.3678,81
